Date,DateTime,environment,position_group,target,algo,Evaluation_WinShare,Evaluation_RMSE,Evaluation_R2,test_RMSE,test_R2,test_MAE,train_RMSE,train_R2,train_MAE,n_trees,learning_rate,max_depth,colsample_bytree,min_child_weight,subsample,seed,knn,pt_min,pt_keep_thres,pt_drop,start_year,eval_split_method,prod_split_method
2020-07-10,2020-07-10 21:24:24.058537,prod,RP,ERA,xgb,0.0,0.0,0.0,1.0998012394690326,0.10798107593855877,0.8767006545290621,1.094846561576852,0.3271548947567219,0.8572031676584722,650,0.2396957857687459,2,0.4777067295072309,7,0.7829098845113294,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:33:01.277125,eval,SP,ERA,xgb,0.25,1.3563956605136436,-0.08682068898596418,0.8704773054021191,0.10737713138307714,0.6642290871394309,0.8547433055736171,0.16231670714814414,0.6706455483341848,500,0.6131812676822599,1,0.7600466753194921,5,0.9901018064990492,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:33:10.262186,prod,SP,ERA,xgb,0.0,0.0,0.0,0.8471351573119952,0.15460725756927296,0.6453468277579859,0.7815968751010853,0.2995549566400446,0.604050218780046,450,0.2789102931775624,2,0.4535251491834216,5,0.8641992115309907,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:33:20.564098,eval,SP,BB_per_9,xgb,0.25625,0.9632196978396652,-0.03397324102256793,0.8096784507785596,0.2666618632717107,0.5922121872086274,0.3819062200743259,0.7741453038181756,0.26941650936935124,650,0.2989425696913481,5,0.4578121733765362,6,0.759051940309577,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:33:30.112859,prod,SP,BB_per_9,xgb,0.0,0.0,0.0,0.8169938835612417,0.2533506018208945,0.6023425980931834,0.2442566282609085,0.9076135291828344,0.11936501042469184,400,0.06142374539700075,13,0.44801776552967865,7,0.9831147663253124,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:33:44.061904,eval,SP,K_per_9,xgb,0.2125,1.789343257817182,0.08885823680978777,1.363906526689632,0.3316196870856373,1.0939412500983792,0.0005034683660488441,0.9999998976674818,0.0002929587711561621,300,0.10632694482807556,14,0.6068506846614687,1,0.9010265709457064,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:33:53.427934,prod,SP,K_per_9,xgb,0.0,0.0,0.0,1.2537192044928709,0.4352516236907923,1.027844329382244,0.8169353486458919,0.7305707998692997,0.6275659355264626,750,0.10388959937299358,2,0.6164666207005968,5,0.9001209663034377,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:34:03.390625,eval,SP,OBP,xgb,0.0,0.0,0.0,0.028457087717847874,-0.033856747969615686,0.022221885296859242,0.011832093275901278,0.8391520557445492,0.008746322362891358,500,0.05799633515147803,3,0.6118168649102377,4,0.915722206184746,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:34:13.934222,prod,SP,OBP,xgb,0.0,0.0,0.0,0.028962922678006483,-0.07093775928004266,0.02302439349105484,0.00759739205151309,0.9336835268457048,0.003627367598068371,250,0.05444622149970835,6,0.6749949608852629,7,0.9350072173836304,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:34:23.376075,eval,SP,SLG,xgb,0.0,0.0,0.0,0.05011501133243864,0.0032020689278091648,0.03911029197354066,0.04341776313656874,0.34665671035851675,0.03439255776152705,100,0.1722196478678787,1,0.8872185320874592,7,0.7304720246009364,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:34:33.112564,prod,SP,SLG,xgb,0.0,0.0,0.0,0.05262837463217936,-0.09928772156151336,0.04156648337213617,0.03413263893661235,0.596218629085763,0.027014199554262312,850,0.5203712848190651,3,0.4999962524286803,1,0.9849299566029186,123,5,80,100,60,2014,timeseries,timeseries
2020-07-10,2020-07-10 21:36:26.726113,eval,RP,ERA,xgb,0.2801556420233463,2.095809994020123,-0.2452493758458285,1.1082831588413995,0.09416911099586713,0.8794421140209432,1.1519060219953865,0.2551948391901777,0.885962602287623,350,0.18969198279961688,2,0.9259191970864522,5,0.9675933017854016,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:37:02.433153,prod,RP,ERA,xgb,0.0,0.0,0.0,1.0959460333943134,0.1142238211189085,0.8565982609277167,1.034907583751114,0.39881004062618375,0.7927745811415161,950,0.06576364915753803,3,0.5382990205144291,5,0.8418911225813922,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:37:34.069406,eval,RP,BB_per_9,xgb,0.264591439688716,1.662485780118606,-0.08540445867076563,0.956029354476712,0.22404963624641205,0.7529726544528231,0.8532559770622883,0.4594305411509314,0.6726981891862379,700,0.038811531773717815,2,0.8953802719327085,7,0.9012679299790264,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:38:05.644317,prod,RP,BB_per_9,xgb,0.0,0.0,0.0,0.9455107669957832,0.2410302898581309,0.7460932412646738,0.8393054441842785,0.4769624038793794,0.6602036119688406,400,0.0954626246388412,2,0.8449980454771988,2,0.8942099482170066,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:38:51.790944,eval,RP,K_per_9,xgb,0.245136186770428,2.3748707769895567,-0.11736195188570207,1.5579874595099763,0.3686505485065513,1.281417744495378,1.5545922949059197,0.5242912059389804,1.2186721105250782,250,0.21800475878135106,1,0.8787985770734659,4,0.8985134144362209,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:39:47.848445,prod,RP,K_per_9,xgb,0.0,0.0,0.0,1.5541433248652667,0.3717622528250655,1.2832428229156383,1.4849178333805038,0.5659767404029634,1.1638921038506571,600,0.14801028465312774,2,0.510221159815867,3,0.7287001271460856,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:40:27.499685,eval,RP,OBP,xgb,0.0,0.0,0.0,0.035971096080136475,0.06337588730576038,0.028842506616124176,0.03397295099996908,0.30082092249781844,0.027143127797188773,500,0.054063148964096384,1,0.9696424865755924,5,0.7205643283800844,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:41:16.552089,prod,RP,OBP,xgb,0.0,0.0,0.0,0.03580326345092656,0.07209563091198667,0.02878238245037918,0.035689839608962284,0.2283665056437036,0.028432215225954918,800,0.2898091681637561,1,0.7155035317688723,3,0.8108631691625904,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:41:56.013493,eval,RP,SLG,xgb,0.0,0.0,0.0,0.07225155989423138,0.06280015017265418,0.05691223294123845,0.028194724697530205,0.8640887069963736,0.019807844906030426,950,0.1932106246191788,5,0.7705309648078941,4,0.9297792488304356,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:42:11.917429,prod,RP,SLG,xgb,0.0,0.0,0.0,0.07080308570945287,0.10000079602682843,0.05658763090023495,0.039402311101057866,0.7345619251936577,0.030410313933626417,900,0.006957137310426909,4,0.8933087515733309,5,0.9121534854054888,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:42:24.317085,eval,RP,SV_per_G,xgb,0.22178988326848248,9.386013412981107,-0.18856084633986447,0.1121220174951211,0.3865396611190624,0.06954491021116603,0.08231356269060518,0.7678965041797055,0.05457969278150855,450,0.04660326082504662,2,0.9847136380155128,7,0.9819668099901822,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:42:34.626081,prod,RP,SV_per_G,xgb,0.0,0.0,0.0,0.11256479806843923,0.3816848668556399,0.06889672565807993,0.08122466413482364,0.7739967254688356,0.05400539219981529,650,0.01803267886113167,2,0.5254989198947935,5,0.7768793666433906,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:42:43.577191,eval,RP,HLD_per_G,xgb,0.0,0.0,0.0,0.10581111726652363,0.14807963146534284,0.08697246270896747,0.10108293134885844,0.2616849504203801,0.08385174201576306,300,0.022435092513272983,1,0.4117575220558206,1,0.8359980605361147,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:43:04.614973,prod,RP,HLD_per_G,xgb,0.0,0.0,0.0,0.10443006771057574,0.17017307747075638,0.08618654720405694,0.02369482293650227,0.9594311216017812,0.011584724534662923,750,0.011805095144956644,13,0.8015796069923069,2,0.7492457365183065,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:43:15.730784,eval,RP,WAR_per_G,xgb,0.31626506024096385,0.7115907646469709,-0.1326802292436211,0.012806961598960744,0.08984259420825612,0.00980118603737959,0.008402312093868273,0.7373725788581197,0.005682180560580231,50,0.12761815980782165,5,0.7456571880739293,5,0.7446961190110659,123,5,30,40,30,2014,random,random
2020-07-10,2020-07-10 21:43:29.321311,prod,RP,WAR_per_G,xgb,0.0,0.0,0.0,0.013159174969965002,0.03909242804833901,0.009958924975552142,0.006145730341203632,0.8594957527098384,0.002966526076529068,300,0.02315167120408326,11,0.6604915499214131,5,0.7357107890369516,123,5,30,40,30,2014,random,random
